,biase,yan1,yan2,goolam,deng1,deng2,pollen,kolodziejczyk,patel,fan,treutlein
1,1,0.627284588,0.582176153,0.485140873,0.878313063,0.405578625,0.781471611,0.475868714,0.801300755,0.250682505,0.315196477
2,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.780964592,0.475868714,0.801300755,0.250682505,0.315196477
3,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
4,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.773154181,0.475868714,0.801300755,0.250682505,0.315196477
5,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.799618068,0.475868714,0.801300755,0.250682505,0.315196477
6,1,0.627284588,0.582176153,0.485140873,0.878313063,0.444448516,0.820533525,0.475868714,0.801300755,0.250682505,0.315196477
7,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.802984155,0.475868714,0.801300755,0.250682505,0.315196477
8,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.761558145,0.475868714,0.801300755,0.250682505,0.315196477
9,1,0.627284588,0.582176153,0.485140873,0.878313063,0.410747262,0.799618068,0.475868714,0.801300755,0.250682505,0.315196477
10,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.806360724,0.475868714,0.801300755,0.250682505,0.315196477
11,1,0.627284588,0.582176153,0.485140873,0.878313063,0.443820331,0.792623843,0.475868714,0.801300755,0.250682505,0.315196477
12,1,0.627284588,0.582176153,0.485140873,0.878313063,0.443820331,0.753086644,0.475868714,0.801300755,0.250682505,0.315196477
13,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.743373858,0.475868714,0.801300755,0.250682505,0.315196477
14,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
15,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
16,1,0.627284588,0.582176153,0.485140873,0.878313063,0.410747262,0.758358291,0.475868714,0.801300755,0.250682505,0.315196477
17,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.758358291,0.475868714,0.801300755,0.250682505,0.315196477
18,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.808491725,0.475868714,0.801300755,0.250682505,0.315196477
19,1,0.627284588,0.582176153,0.485140873,0.878313063,0.442566717,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
20,1,0.627284588,0.582176153,0.485140873,0.878313063,0.467984161,0.746813973,0.475868714,0.801300755,0.250682505,0.315196477
21,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.781498254,0.475868714,0.801300755,0.250682505,0.315196477
22,1,0.627284588,0.582176153,0.485140873,0.878313063,0.410747262,0.792623843,0.475868714,0.801300755,0.250682505,0.315196477
23,1,0.627284588,0.582176153,0.485140873,0.878313063,0.435736833,0.753086644,0.475868714,0.801300755,0.250682505,0.315196477
24,1,0.627284588,0.582176153,0.485140873,0.878313063,0.443820331,0.749828671,0.475868714,0.801300755,0.250682505,0.315196477
25,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412702354,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
26,1,0.627284588,0.582176153,0.485140873,0.878313063,0.424251337,0.792623843,0.475868714,0.801300755,0.250682505,0.315196477
27,1,0.627284588,0.582176153,0.485140873,0.878313063,0.468624212,0.806360724,0.475868714,0.801300755,0.250682505,0.315196477
28,1,0.627284588,0.582176153,0.485140873,0.878313063,0.405578625,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
29,1,0.627284588,0.582176153,0.485140873,0.878313063,0.443820331,0.824004334,0.475868714,0.801300755,0.250682505,0.315196477
30,1,0.627284588,0.582176153,0.485140873,0.878313063,0.403657055,0.806360724,0.475868714,0.801300755,0.250682505,0.315196477
31,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
32,1,0.627284588,0.582176153,0.485140873,0.878313063,0.405578625,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
33,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
34,1,0.627284588,0.582176153,0.485140873,0.878313063,0.467984161,0.755033567,0.475868714,0.801300755,0.250682505,0.315196477
35,1,0.627284588,0.582176153,0.485140873,0.878313063,0.454823328,0.75443415,0.475868714,0.801300755,0.250682505,0.315196477
36,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.758358291,0.475868714,0.801300755,0.250682505,0.315196477
37,1,0.627284588,0.582176153,0.485140873,0.878313063,0.405578625,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
38,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.746813973,0.475868714,0.801300755,0.250682505,0.315196477
39,1,0.627284588,0.582176153,0.485140873,0.878313063,0.44383759,0.770415546,0.475868714,0.801300755,0.250682505,0.315196477
40,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.758358291,0.475868714,0.801300755,0.250682505,0.315196477
41,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
42,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.792623843,0.475868714,0.801300755,0.250682505,0.315196477
43,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
44,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.773154181,0.475868714,0.801300755,0.250682505,0.315196477
45,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.792623843,0.475868714,0.801300755,0.250682505,0.315196477
46,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.836182738,0.475868714,0.801300755,0.250682505,0.315196477
47,1,0.627284588,0.582176153,0.485140873,0.878313063,0.467984161,0.76132229,0.475868714,0.801300755,0.250682505,0.315196477
48,1,0.627284588,0.582176153,0.485140873,0.878313063,0.467984161,0.758358291,0.475868714,0.801300755,0.250682505,0.315196477
49,1,0.627284588,0.582176153,0.485140873,0.878313063,0.442566717,0.806360724,0.475868714,0.801300755,0.250682505,0.315196477
50,1,0.627284588,0.582176153,0.485140873,0.878313063,0.410747262,0.839711692,0.475868714,0.801300755,0.250682505,0.315196477
51,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.758358291,0.475868714,0.801300755,0.250682505,0.315196477
52,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.780964592,0.475868714,0.801300755,0.250682505,0.315196477
53,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
54,1,0.627284588,0.582176153,0.485140873,0.878313063,0.410747262,0.804209443,0.475868714,0.801300755,0.250682505,0.315196477
55,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.820533525,0.475868714,0.801300755,0.250682505,0.315196477
56,1,0.627284588,0.582176153,0.485140873,0.878313063,0.443820331,0.780964592,0.475868714,0.801300755,0.250682505,0.315196477
57,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.802991846,0.475868714,0.801300755,0.250682505,0.315196477
58,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
59,1,0.627284588,0.582176153,0.485140873,0.878313063,0.424251337,0.787999451,0.475868714,0.801300755,0.250682505,0.315196477
60,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.793097083,0.475868714,0.801300755,0.250682505,0.315196477
61,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.784786592,0.475868714,0.801300755,0.250682505,0.315196477
62,1,0.627284588,0.582176153,0.485140873,0.878313063,0.467984161,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
63,1,0.627284588,0.582176153,0.485140873,0.878313063,0.4375887,0.758358291,0.475868714,0.801300755,0.250682505,0.315196477
64,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.787999451,0.475868714,0.801300755,0.250682505,0.315196477
65,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
66,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.765815941,0.475868714,0.801300755,0.250682505,0.315196477
67,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
68,1,0.627284588,0.582176153,0.485140873,0.878313063,0.423053283,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
69,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.764653355,0.475868714,0.801300755,0.250682505,0.315196477
70,1,0.627284588,0.582176153,0.485140873,0.878313063,0.443820331,0.827456728,0.475868714,0.801300755,0.250682505,0.315196477
71,1,0.627284588,0.582176153,0.485140873,0.878313063,0.442566717,0.758358291,0.475868714,0.801300755,0.250682505,0.315196477
72,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
73,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.764653355,0.475868714,0.801300755,0.250682505,0.315196477
74,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.793097083,0.475868714,0.801300755,0.250682505,0.315196477
75,1,0.627284588,0.582176153,0.485140873,0.878313063,0.443820331,0.781498254,0.475868714,0.801300755,0.250682505,0.315196477
76,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
77,1,0.627284588,0.582176153,0.485140873,0.878313063,0.454823328,0.777679696,0.475868714,0.801300755,0.250682505,0.315196477
78,1,0.627284588,0.582176153,0.485140873,0.878313063,0.467984161,0.836182738,0.475868714,0.801300755,0.250682505,0.315196477
79,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
80,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.789266615,0.475868714,0.801300755,0.250682505,0.315196477
81,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
82,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412049627,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
83,1,0.627284588,0.582176153,0.485140873,0.878313063,0.424251337,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
84,1,0.627284588,0.582176153,0.485140873,0.878313063,0.420995639,0.75443415,0.475868714,0.801300755,0.250682505,0.315196477
85,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.757333506,0.475868714,0.801300755,0.250682505,0.315196477
86,1,0.627284588,0.582176153,0.485140873,0.878313063,0.424251337,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
87,1,0.627284588,0.582176153,0.485140873,0.878313063,0.467984161,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
88,1,0.627284588,0.582176153,0.485140873,0.878313063,0.412702354,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
89,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.839711692,0.475868714,0.801300755,0.250682505,0.315196477
90,1,0.627284588,0.582176153,0.485140873,0.878313063,0.46670684,0.722918708,0.475868714,0.801300755,0.250682505,0.315196477
91,1,0.627284588,0.582176153,0.485140873,0.878313063,0.442566717,0.820533525,0.475868714,0.801300755,0.250682505,0.315196477
92,1,0.627284588,0.582176153,0.485140873,0.878313063,0.404296576,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
93,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.764653355,0.475868714,0.801300755,0.250682505,0.315196477
94,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.764653355,0.475868714,0.801300755,0.250682505,0.315196477
95,1,0.627284588,0.582176153,0.485140873,0.878313063,0.410747262,0.839711692,0.475868714,0.801300755,0.250682505,0.315196477
96,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.773154181,0.475868714,0.801300755,0.250682505,0.315196477
97,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.845072979,0.475868714,0.801300755,0.250682505,0.315196477
98,1,0.627284588,0.582176153,0.485140873,0.878313063,0.467984161,0.836182738,0.475868714,0.801300755,0.250682505,0.315196477
99,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.793097083,0.475868714,0.801300755,0.250682505,0.315196477
100,1,0.627284588,0.582176153,0.485140873,0.878313063,0.453996602,0.839711692,0.475868714,0.801300755,0.250682505,0.315196477
Median,1,0.627284588,0.582176153,0.485140873,0.878313063,0.443820331,0.799618068,0.475868714,0.801300755,0.250682505,0.315196477
